id,sweep_init_time,pop_radius_at_sweep_init
00000128bb,357.529327,37.28349867
00000129b,0,0
00000129bb,0,0
0000012Ab,0,0
0000012Abb,0,0
0000012Aab,450.398163,58.49097928
0000012Bbb,0,0
0000012Bab,0,0
0000012Cbb,0,0
0000012Cab,0,0
0000012Dbb,0,0
0000012Dab,0,0
0000012Ebb,0,0
0000012Eab,0,0
0000012Fbb,0,0
0000012Fab,0,0
00000130bb,0,0
00000130ab,0,0
00000131bb,0,0
00000131ab,0,0
00000132bb,0,0
00000132ab,0,0
00000133bb,0,0
00000133b,404.676605,47.94615728
00000133bb,0,0
00000133ab,118.615768,10.34176589
00000134bb,0,0
00000134b,162.838226,16.27371578
00000134bb,0,0
00000135b,0,0
00000135bb,0,0
00000136b,0,0
00000136bb,0,0
00000137b,0,0
00000137bb,0,0
00000138b,0,0
00000138bb,0,0
00000139b,0,0
00000139bb,0,0
0000013Ab,0,0
0000013Abb,0,0
0000013Bb,0,0
0000013Bbb,0,0
0000013Cb,0,0
0000013Cbb,0,0
0000013Db,0,0
0000013Dbb,0,0
0000013Eb,0,0
0000013Ebb,574.499146,77.24041815
0000013Eb,751.584106,102.1323405
0000013Ebb,0,0
0000013Fb,0,0
0000013Fbb,0,0
00000140b,0,0
00000140bb,0,0
00000141b,0,0
00000141bb,0,0
00000142b,0,0
00000142bb,0,0
00000143b,0,0
00000143bb,0,0
00000144b,0,0
00000144bb,0,0
00000145b,0,0
00000145bb,368.018372,46.78353105
00000145ab,0,0
00000146bb,0,0
00000146ab,0,0
00000147bb,0,0
00000147ab,0,0
00000148bb,0,0
00000148b,134.117813,15.15980666
00000148bb,0,0
00000149b,0,0
00000149bb,0,0
0000014Ab,0,0
0000014Abb,0,0
0000014Bb,0,0
0000014Bbb,0,0
0000014Cb,0,0
0000014Cbb,545.593079,72.22287799
0000014Cab,0,0
0000014Dbb,0,0
0000014Dab,0,0
0000014Ebb,0,0
0000014Eab,0,0
0000014Fbb,0,0
0000014Fab,0,0
00000150bb,0,0
00000150b,382.79715,41.32472068
00000150bb,0,0
00000151b,0,0
00000151bb,0,0
00000152b,0,0
00000152bb,0,0
00000152ab,355.697601,46.0877627
00000153bb,0,0
00000153ab,0,0
00000154bb,0,0
00000154ab,0,0
00000155bb,0,0
00000155ab,0,0
00000156bb,0,0
00000156ab,0,0
00000157bb,0,0
00000157ab,0,0
00000158bb,0,0
00000158ab,0,0
00000158bb,496.704041,54.04158774
00000158ab,650.822998,81.95715477
00000158bb,714.133179,95.35471619
00000159b,0,0
00000159bb,0,0
0000015Ab,0,0
0000015Abb,0,0
0000015Bb,0,0
0000015Bbb,0,0
0000015Cb,0,0
0000015Cbb,0,0
0000015Db,0,0
0000015Dbb,0,0
0000015Eb,0,0
0000015Ebb,0,0
0000015Fb,0,0
0000015Fbb,512.881348,68.50664903
0000015Fab,0,0
00000160bb,0,0
00000160ab,0,0
00000161bb,0,0
00000161ab,0,0
00000162bb,0,0
00000162b,156.518341,13.69249878
00000162bb,0,0
00000163b,0,0
00000163bb,0,0
00000163ab,252.795013,31.5139151
00000164bb,0,0
00000164ab,0,0
00000165bb,0,0
00000165ab,0,0
00000166bb,0,0
00000166ab,0,0
00000167bb,0,0
00000167ab,0,0
00000168bb,0,0
00000168ab,0,0
00000168bb,634.540405,84.69611322
00000169b,0,0
00000169bb,0,0
0000016Ab,0,0
0000016Abb,0,0
0000016Bb,0,0
0000016Bbb,0,0
0000016Cb,0,0
0000016Cbb,0,0
0000016Db,0,0
0000016Dbb,287.261932,37.80491223
0000016Dab,0,0
0000016Ebb,0,0
0000016Eab,0,0
0000016Fbb,0,0
0000016Fab,0,0
0000016Fbb,566.156616,66.1835504
0000016Fab,843.244263,108.1906163
00000170bb,0,0
00000170ab,0,0
00000171bb,0,0
00000171ab,0,0
00000172bb,0,0
00000172b,486.077118,59.26408089
00000172bb,656.36853,85.57846611
00000172ab,0,0
00000173bb,0,0
00000173ab,0,0
00000173bb,386.420471,52.36335894
00000174b,0,0
00000174bb,0,0
00000175b,0,0
00000175bb,236.450073,28.4062592
00000175ab,0,0
00000176bb,0,0
00000176ab,0,0
00000177bb,0,0
00000177ab,0,0
00000177bb,780.470215,104.5548489
00000177ab,872.68689,117.9183224
00000178bb,0,0
00000178ab,0,0
00000178bb,402.33847,54.96434417
00000179b,0,0
00000179bb,0,0
0000017Ab,0,0
0000017Abb,0,0
0000017Bb,0,0
0000017Bbb,0,0
0000017Cb,0,0
0000017Cbb,0,0
0000017Db,0,0
0000017Dbb,463.197876,53.66922917
0000017Dab,0,0
0000017Ebb,0,0
0000017Eab,0,0
0000017Fbb,0,0
0000017Fab,0,0
00000180bb,0,0
00000180b,192.909271,25.53230595
00000180bb,0,0
00000181b,0,0
00000181bb,0,0
00000181ab,261.357025,31.03555567
00000182bb,0,0
00000182ab,0,0
00000182bb,269.513184,29.4731688
00000182ab,751.17981,95.45981051
00000183bb,0,0
00000183ab,0,0
00000184bb,0,0
00000184b,646.932007,81.8580565
00000184bb,0,0
00000185b,0,0
00000185bb,0,0
00000186b,0,0
00000186bb,0,0
00000187b,0,0
00000187bb,0,0
00000188b,0,0
00000188bb,0,0
00000189b,0,0
00000189bb,0,0
0000018Ab,0,0
0000018Abb,0,0
0000018Bb,0,0
0000018Bbb,0,0
0000018Cb,0,0
0000018Cbb,0,0
0000018Db,0,0
0000018Dbb,0,0
0000018Eb,0,0
0000018Ebb,0,0
0000018Eab,332.004089,42.15217414
0000018Fbb,0,0
0000018Fab,0,0
00000190bb,0,0
00000190ab,0,0
00000190bb,746.312683,92.34802906
00000190ab,827.711304,105.3026267
00000191bb,0,0
00000191b,38.225967,5.556622982
00000191bb,0,0
00000192b,0,0
00000192bb,361.619141,42.30669557
00000192b,536.526367,69.77043134
00000192bb,0,0
00000193b,0,0
00000193bb,0,0
00000193ab,284.583588,33.82315377
00000194bb,0,0
00000194ab,0,0
00000195bb,0,0
00000195ab,0,0
00000196bb,0,0
00000196ab,0,0
00000197bb,0,0
00000197ab,0,0
00000198bb,0,0
00000198ab,0,0
00000199bb,0,0
00000199ab,0,0
0000019Abb,0,0
0000019Aab,0,0
0000019Bbb,0,0
0000019Bab,0,0
0000019Bbb,339.292877,37.31763326
0000019Cb,0,0
0000019Cbb,0,0
0000019Db,0,0
0000019Dbb,0,0
0000019Eb,0,0
0000019Ebb,0,0
0000019Fb,0,0
0000019Fbb,0,0
000001A0b,0,0
000001A0bb,0,0
000001A1b,0,0
000001A1bb,0,0
000001A2b,0,0
000001A2bb,0,0
000001A2ab,482.496887,63.97024228
000001A3bb,0,0
000001A3ab,0,0
000001A4bb,0,0
000001A4ab,0,0
000001A5bb,0,0
000001A5b,376.858063,55.90888196
000001A5bb,0,0
000001A6b,0,0
000001A6bb,0,0
000001A6ab,472.149597,63.56090839
000001A7bb,0,0
000001A7ab,0,0
000001A8bb,0,0
000001A8ab,0,0
000001A8bb,318.407837,31.19922486
000001A9b,0,0
000001A9bb,0,0
000001AAb,0,0
000001AAbb,0,0
000001ABb,0,0
000001ABbb,0,0
000001ACb,0,0
000001ACbb,0,0
000001ADb,0,0
000001ADbb,0,0
000001AEb,0,0
000001AEbb,0,0
000001AFb,0,0
000001AFbb,0,0
000001B0b,0,0
000001B0bb,0,0
000001B1b,0,0
000001B1bb,0,0
000001B2b,0,0
000001B2bb,0,0
000001B3b,0,0
000001B3bb,0,0
000001B4b,0,0
000001B4bb,0,0
000001B5b,0,0
000001B5bb,0,0
000001B6b,0,0
000001B6bb,0,0
000001B7b,0,0
000001B7bb,0,0
000001B8b,0,0
000001B8bb,0,0
000001B9b,0,0
000001B9bb,0,0
000001B9ab,512.764465,68.78949606
000001BAbb,0,0
000001BAab,0,0
000001BBbb,0,0
000001BBab,0,0
000001BCbb,0,0
000001BCab,0,0
000001BDbb,0,0
000001BDab,0,0
000001BEbb,0,0
000001BEab,0,0
000001BFbb,0,0
000001BFab,0,0
000001C0bb,0,0
000001C0ab,0,0
000001C1bb,0,0
000001C1ab,0,0
