,index,log2_deme,migration_rate,normal_birth_rate
424,000004CA,4,0.75,0.83333333333
425,0000042D,4,0.05,0.83333333333
426,0000084A,7,0.5,0.95238095238
427,00000790,7,0.01,0.90909090909
428,00000728,6,0.5,0.71428571428
429,00000109,1,0.75,0.83333333333
430,000006AB,6,0.05,0.83333333333
431,0000067B,6,0.025,0.90909090909
432,00000871,7,0.75,0.95238095238
433,000002AC,3,0.025,0.95238095238
434,00000170,2,0.025,0.95238095238
435,000007A5,7,0.01,0.71428571428
436,00000541,5,0.025,0.83333333333
437,0000050F,5,0.01,0.90909090909
438,00000863,7,0.5,0.83333333333
439,00000158,2,0.01,0.83333333333
440,0000054A,5,0.025,0.71428571428
441,00000227,2,0.5,0.71428571428
442,000005BF,5,0.25,0.71428571428
443,000001C3,2,0.1,0.90909090909
444,000004A0,4,0.5,0.83333333333
445,000006CF,6,0.1,0.83333333333
446,000001AC,2,0.05,0.83333333333
447,0000005A,1,0.05,0.90909090909
448,00000458,4,0.1,0.71428571428
449,0000040F,4,0.025,0.71428571428
450,0000011A,1,1.0,0.95238095238
451,000005C3,5,0.25,0.71428571428
452,00000841,7,0.25,0.71428571428
453,00000636,5,1.0,0.71428571428
454,00000466,4,0.25,0.95238095238
455,000006D4,6,0.1,0.83333333333
456,0000091C,8,0.05,0.90909090909
457,0000093B,8,0.1,0.95238095238
458,000000DA,1,0.5,0.90909090909
459,00000616,5,0.75,0.71428571428
460,000008F0,8,0.025,0.95238095238
461,000004C7,4,0.75,0.83333333333
462,0000021D,2,0.5,0.83333333333
463,000002CC,3,0.025,0.71428571428
464,000004FC,4,1.0,0.71428571428
465,00000949,8,0.1,0.90909090909
466,00000319,3,0.1,0.71428571428
467,000003E8,4,0.025,0.95238095238
468,0000094F,8,0.1,0.83333333333
469,0000030F,3,0.1,0.83333333333
470,00000611,5,0.75,0.71428571428
471,000004F3,4,1.0,0.83333333333
472,0000069E,6,0.05,0.90909090909
473,0000083B,7,0.25,0.83333333333
474,000001B8,2,0.1,0.95238095238
475,000002E6,3,0.05,0.83333333333
476,0000099A,8,0.5,0.90909090909
477,00000020,1,0.01,0.71428571428
478,000006AD,6,0.05,0.83333333333
479,000003C0,4,0.01,0.95238095238
480,00000536,5,0.025,0.90909090909
481,0000078C,7,0.01,0.90909090909
482,000009AA,8,0.5,0.71428571428
483,000005BB,5,0.25,0.83333333333
484,000006DC,6,0.1,0.71428571428
485,0000064C,6,0.01,0.90909090909
486,00000339,3,0.25,0.83333333333
487,0000007D,1,0.1,0.95238095238
488,00000399,3,1.0,0.95238095238
489,00000248,2,0.75,0.83333333333
490,00000813,7,0.1,0.83333333333
491,00000670,6,0.025,0.95238095238
492,00000904,8,0.025,0.83333333333
493,0000055F,5,0.05,0.90909090909
494,0000047D,4,0.25,0.83333333333
495,00000428,4,0.05,0.83333333333
496,000004AB,4,0.5,0.71428571428
497,000007C2,7,0.025,0.83333333333
498,00000972,8,0.25,0.90909090909
499,000000F5,1,0.75,0.95238095238
500,00000512,5,0.01,0.90909090909
501,0000038C,3,0.75,0.83333333333
502,000006D6,6,0.1,0.71428571428
503,000002BC,3,0.025,0.83333333333
504,00000338,3,0.25,0.83333333333
505,0000004A,1,0.025,0.71428571428
506,0000060A,5,0.75,0.83333333333
507,00000952,8,0.1,0.83333333333
508,00000245,2,0.75,0.83333333333
509,0000068F,6,0.025,0.71428571428
510,000002DC,3,0.05,0.90909090909
511,000008A2,7,1.0,0.90909090909
512,00000622,5,1.0,0.90909090909
513,00000657,6,0.01,0.83333333333
514,00000836,7,0.25,0.83333333333
515,000004B5,4,0.75,0.95238095238
516,0000018D,2,0.025,0.71428571428
517,0000052B,5,0.025,0.95238095238
518,00000501,5,0.01,0.95238095238
519,00000649,6,0.01,0.95238095238
520,000007DF,7,0.05,0.90909090909
521,000004EF,4,1.0,0.83333333333
522,0000071C,6,0.5,0.83333333333
523,00000345,3,0.25,0.71428571428
524,0000020C,2,0.5,0.95238095238
525,00000522,5,0.01,0.71428571428
526,000008A8,7,1.0,0.90909090909
527,000008E0,8,0.01,0.71428571428
528,00000057,1,0.05,0.95238095238
529,00000756,6,0.75,0.71428571428
530,000004DC,4,1.0,0.95238095238
531,000001EB,2,0.25,0.90909090909
532,0000041B,4,0.05,0.90909090909
533,000007F8,7,0.1,0.95238095238
534,00000220,2,0.5,0.83333333333
535,00000537,5,0.025,0.90909090909
536,000001EA,2,0.25,0.90909090909
537,0000080C,7,0.1,0.83333333333
538,0000089D,7,1.0,0.95238095238
539,00000515,5,0.01,0.83333333333
540,00000789,7,0.01,0.95238095238
541,0000015C,2,0.01,0.83333333333
542,00000506,5,0.01,0.95238095238
543,00000940,8,0.1,0.95238095238
544,000005F9,5,0.75,0.95238095238
545,000005E5,5,0.5,0.83333333333
546,000007D0,7,0.05,0.95238095238
547,000000CC,1,0.5,0.95238095238
548,00000699,6,0.05,0.95238095238
549,00000426,4,0.05,0.83333333333
550,000006A2,6,0.05,0.90909090909
551,000000E8,1,0.5,0.71428571428
552,000001DC,2,0.1,0.71428571428
553,000003D4,4,0.01,0.83333333333
554,00000127,1,1.0,0.90909090909
555,000007FF,7,0.1,0.95238095238
556,00000479,4,0.25,0.83333333333
557,00000031,1,0.025,0.95238095238
558,00000809,7,0.1,0.90909090909
559,000006C6,6,0.1,0.90909090909
560,0000038A,3,0.75,0.83333333333
561,000001CA,2,0.1,0.90909090909
562,000008A4,7,1.0,0.90909090909
563,00000927,8,0.05,0.83333333333
564,00000743,6,0.75,0.90909090909
565,00000298,3,0.01,0.83333333333
566,0000034E,3,0.5,0.95238095238
567,00000119,1,1.0,0.95238095238
568,000003D9,4,0.01,0.83333333333
569,000006B6,6,0.05,0.71428571428
570,00000449,4,0.1,0.90909090909
571,0000072D,6,0.5,0.71428571428
572,00000832,7,0.25,0.90909090909
573,000002ED,3,0.05,0.83333333333
574,0000043D,4,0.1,0.95238095238
575,00000279,2,1.0,0.71428571428
576,00000602,5,0.75,0.90909090909
577,000004E4,4,1.0,0.90909090909
578,0000081F,7,0.1,0.71428571428
579,000006C2,6,0.1,0.90909090909
580,00000990,8,0.5,0.95238095238
581,000000A4,1,0.25,0.95238095238
582,000008AD,7,1.0,0.83333333333
583,00000304,3,0.1,0.90909090909
584,0000040D,4,0.025,0.71428571428
585,000008A6,7,1.0,0.90909090909
586,00000159,2,0.01,0.83333333333
587,000002D0,3,0.05,0.95238095238
588,00000377,3,0.75,0.95238095238
589,00000866,7,0.5,0.71428571428
590,0000087F,7,0.75,0.90909090909
591,00000767,6,1.0,0.90909090909
592,000005DA,5,0.5,0.90909090909
593,00000074,1,0.05,0.71428571428
594,00000724,6,0.5,0.83333333333
595,00000791,7,0.01,0.90909090909
596,0000089F,7,1.0,0.95238095238
597,0000063A,5,1.0,0.71428571428
598,00000682,6,0.025,0.83333333333
599,000002C2,3,0.025,0.83333333333
600,00000762,6,1.0,0.90909090909
601,0000044F,4,0.1,0.83333333333
602,00000363,3,0.5,0.83333333333
603,00000486,4,0.25,0.71428571428
604,000004EB,4,1.0,0.90909090909
605,00000862,7,0.5,0.83333333333
606,000009A2,8,0.5,0.83333333333
607,00000826,7,0.25,0.95238095238
608,000001FF,2,0.25,0.71428571428
609,000006FF,6,0.25,0.71428571428
610,0000092B,8,0.05,0.83333333333
611,00000816,7,0.1,0.71428571428
612,000004EA,4,1.0,0.90909090909
613,000000B1,1,0.25,0.90909090909
614,000007AC,7,0.025,0.95238095238
615,000004B6,4,0.75,0.95238095238
616,000000DD,1,0.5,0.83333333333
617,000000E9,1,0.5,0.71428571428
618,00000023,1,0.01,0.71428571428
619,0000057C,5,0.1,0.95238095238
620,0000028C,3,0.01,0.90909090909
621,0000047A,4,0.25,0.83333333333
622,00000965,8,0.25,0.95238095238
623,0000010C,1,0.75,0.83333333333
624,0000031B,3,0.1,0.71428571428
625,000009C5,8,0.75,0.83333333333
626,00000723,6,0.5,0.83333333333
627,00000998,8,0.5,0.90909090909
628,0000022F,2,0.5,0.71428571428
629,0000027B,2,1.0,0.71428571428
630,0000024C,2,0.75,0.83333333333
631,0000005E,1,0.05,0.90909090909
632,000008A0,7,1.0,0.95238095238
633,0000028A,3,0.01,0.90909090909
634,0000041A,4,0.05,0.90909090909
635,000006A5,6,0.05,0.83333333333
636,000009EF,8,1.0,0.83333333333
637,0000083F,7,0.25,0.71428571428
638,00000758,6,1.0,0.95238095238
639,000009A7,8,0.5,0.71428571428
640,000006FB,6,0.25,0.83333333333
641,000008C6,8,0.01,0.95238095238
642,0000086F,7,0.5,0.71428571428
643,000006E2,6,0.25,0.95238095238
644,00000123,1,1.0,0.90909090909
645,0000025B,2,1.0,0.95238095238
646,00000398,3,1.0,0.95238095238
647,0000092F,8,0.05,0.71428571428
648,000008ED,8,0.025,0.95238095238
649,0000059F,5,0.1,0.71428571428
