,index,log2_deme,migration_rate,s_driver_birth
615,00001955,5,0.01,1.2
616,00001038,3,0.25,0.5
617,00000DDB,3,0.025,0.6
618,00001103,3,0.5,0.5
619,000029AE,7,0.5,1.3
620,000019A9,5,0.01,0.4
621,00002079,6,0.025,0.9
622,000031FB,8,1.0,0.1
623,00000B9C,2,0.75,0.3
624,000008CC,2,0.1,1.5
625,00000D5D,3,0.025,1.8
626,00001CCE,5,0.25,0.3
627,0000015E,1,0.025,0.5
628,000013EF,4,0.025,1.0
629,0000315A,8,1.0,1.7
630,00001E43,5,0.75,0.6
631,00002E2E,8,0.1,1.8
632,00000042,1,0.01,1.4
633,000020D0,6,0.05,2.0
634,0000113F,3,0.75,1.9
635,00000A80,2,0.5,1.2
636,00002AA1,7,0.75,0.9
637,00002592,7,0.01,1.9
638,00001851,4,1.0,1.8
639,000027EA,7,0.1,1.9
640,00003025,8,0.5,0.8
641,000016E7,4,0.5,1.4
642,00000585,1,1.0,1.9
643,00001629,4,0.25,1.3
644,000019E4,5,0.025,1.8
645,0000104F,3,0.25,0.3
646,0000104E,3,0.25,0.3
647,000026C8,7,0.025,0.8
648,00002661,7,0.025,1.8
649,00001B99,5,0.1,1.4
650,00001CD9,5,0.25,0.2
651,000013F9,4,0.025,0.9
652,00001840,4,1.0,2.0
653,00002C26,8,0.01,1.0
654,00002742,7,0.05,1.5
655,00000DB8,3,0.025,0.9
656,000025A0,7,0.01,1.7
657,00001FB4,6,0.01,0.9
658,000030E8,8,0.75,0.8
659,00002D11,8,0.025,0.7
660,00002C14,8,0.01,1.2
661,00000FC8,3,0.25,1.6
662,0000106E,3,0.5,2.0
663,000011B2,3,0.75,0.7
664,00001D8B,5,0.5,0.4
665,000026AC,7,0.025,1.0
666,0000187F,4,1.0,1.3
667,00002C46,8,0.01,0.7
668,000016F5,4,0.5,1.3
669,000008FF,2,0.1,1.0
670,000008F2,2,0.1,1.1
671,00001B3A,5,0.05,0.3
672,0000106A,3,0.5,2.0
673,000012B9,3,1.0,0.1
674,0000265C,7,0.025,1.8
675,00002477,6,0.75,0.7
676,00002A0D,7,0.5,0.4
677,00002F97,8,0.25,0.2
678,00001046,3,0.25,0.4
679,00002FCD,8,0.5,1.7
680,00002849,7,0.1,0.9
681,0000312C,8,0.75,0.2
682,00002873,7,0.1,0.5
683,000013F1,4,0.025,1.0
684,00000E04,3,0.025,0.2
685,0000165E,4,0.25,0.8
686,00001711,4,0.5,1.0
687,00001AC0,5,0.05,1.6
688,0000273D,7,0.05,1.6
689,00000E6C,3,0.05,1.1
690,00000828,2,0.05,1.2
691,00002177,6,0.05,0.4
692,000025F1,7,0.01,0.9
693,00002A68,7,0.75,1.5
694,00001355,4,0.01,0.6
695,000019FB,5,0.025,1.5
696,00000177,1,0.025,0.3
697,00000AA9,2,0.5,0.8
698,000025E9,7,0.01,1.0
699,00001DD1,5,0.75,1.7
700,000020C4,6,0.025,0.2
701,000018B0,4,1.0,0.8
702,000015D1,4,0.1,0.2
703,000013D4,4,0.025,1.3
704,00000D9D,3,0.025,1.2
705,00001701,4,0.5,1.2
706,0000210D,6,0.05,1.4
707,000009DC,2,0.25,0.8
708,00000196,1,0.05,2.0
709,00001285,3,1.0,0.6
710,000030D9,8,0.75,1.0
711,0000227D,6,0.25,1.8
712,0000306F,8,0.5,0.1
713,00000DB0,3,0.025,1.0
714,0000285E,7,0.1,0.7
715,00000E49,3,0.05,1.5
716,00000328,1,0.25,2.0
717,00001BBF,5,0.1,1.0
718,00000F31,3,0.1,1.2
719,000031CF,8,1.0,0.5
720,000019DA,5,0.025,1.9
721,00001919,5,0.01,1.8
722,00002326,6,0.25,0.1
723,000015BA,4,0.1,0.4
724,00001E58,5,0.75,0.4
725,00003155,8,1.0,1.8
726,000027DD,7,0.1,2.0
727,000019D3,5,0.025,1.9
728,0000152C,4,0.1,1.8
729,00000CBC,3,0.01,1.4
730,00002095,6,0.025,0.6
731,00002A84,7,0.75,1.2
732,00001639,4,0.25,1.2
733,00001406,4,0.025,0.8
734,000010C6,3,0.5,1.1
735,00002101,6,0.05,1.6
736,00001D7C,5,0.5,0.6
737,00002BA0,7,1.0,0.4
738,00000111,1,0.025,1.3
739,00002631,7,0.01,0.3
740,00001BF7,5,0.1,0.5
741,00000110,1,0.025,1.3
742,00000951,2,0.1,0.2
743,00002D76,8,0.05,1.7
744,0000016C,1,0.025,0.4
745,000021A1,6,0.1,2.0
746,000000FC,1,0.025,1.5
747,00002374,6,0.5,1.3
748,00001730,4,0.5,0.7
749,0000034C,1,0.25,1.6
750,00001458,4,0.05,2.0
751,00002E67,8,0.1,1.3
752,00002F70,8,0.25,0.6
753,0000080D,2,0.05,1.4
754,00001E9F,5,1.0,1.7
755,00001A1F,5,0.025,1.2
756,0000065E,2,0.01,1.7
757,00000208,1,0.05,0.8
758,00001007,3,0.25,1.0
759,00001B51,5,0.05,0.1
760,000011DE,3,0.75,0.3
761,00001D07,5,0.5,1.7
762,0000086A,2,0.05,0.5
763,00001594,4,0.1,0.8
764,00000BC3,2,1.0,1.9
765,0000109E,3,0.5,1.5
766,00001A96,5,0.05,2.0
767,00000640,2,0.01,2.0
768,00000D60,3,0.025,1.8
769,00002A4A,7,0.75,1.8
770,0000294F,7,0.25,0.3
771,00003123,8,0.75,0.3
772,00002B37,7,1.0,1.4
773,000030D3,8,0.75,1.1
774,00000EFA,3,0.1,1.7
775,00000559,1,0.75,0.4
776,00002C9A,8,0.025,1.9
777,00002DBB,8,0.05,1.0
778,000025D8,7,0.01,1.2
779,000025C9,7,0.01,1.3
780,000022B4,6,0.25,1.2
781,000000E6,1,0.025,1.7
782,00000ADF,2,0.5,0.2
783,00000D37,3,0.01,0.2
784,00002F4F,8,0.25,0.9
785,0000119D,3,0.75,1.0
786,000007B0,2,0.025,0.4
787,000023A3,6,0.5,0.8
788,00001308,4,0.01,1.3
