,index,mu_driver_birth,s_driver_birth
391,000000C3b,1e-05,0.05
392,000000C3bb,1e-05,0.05
393,000000C4b,1e-05,0.05
394,000000C4bb,1e-05,0.05
395,000000C5b,1e-05,0.05
396,000000C5bb,1e-05,0.05
397,000000C6b,1e-05,0.05
398,000000C6bb,1e-05,0.05
399,000000C7b,1e-05,0.05
400,000000C7bb,1e-05,0.05
401,000000C8b,1e-05,0.05
402,000000C8bb,1e-05,0.05
403,000000C9b,1e-05,0.05
404,000000C9bb,1e-05,0.05
405,000000Cbb,1e-05,0.05
406,000000Cbbb,1e-05,0.05
407,000000CBb,1e-05,0.05
408,000000CBbb,1e-05,0.05
409,000000CCb,1e-05,0.05
410,000000CCbb,1e-05,0.05
411,000000CDb,1e-05,0.05
412,000000CDbb,1e-05,0.05
413,000000CEb,1e-05,0.05
414,000000CEbb,1e-05,0.05
415,000000CFb,1e-05,0.05
416,000000CFbb,1e-05,0.05
417,000000D0b,1e-05,0.05
418,000000D0bb,1e-05,0.05
419,000000D1b,1e-05,0.05
420,000000D1bb,1e-05,0.05
421,000000D2b,1e-05,0.05
422,000000D2bb,1e-05,0.05
423,000000D3b,1e-05,0.05
424,000000D3bb,1e-05,0.05
425,000000D4b,1e-05,0.05
426,000000D4bb,1e-05,0.05
427,000000D5b,1e-05,0.05
428,000000D5bb,1e-05,0.05
429,000000D6b,1e-05,0.05
430,000000D6bb,1e-05,0.05
431,000000D7b,1e-05,0.05
432,000000D7bb,1e-05,0.05
433,000000D8b,1e-05,0.05
434,000000D8bb,1e-05,0.05
435,000000D9b,1e-05,0.05
436,000000D9bb,1e-05,0.05
437,000000Dbb,1e-05,0.05
438,000000Dbbb,1e-05,0.05
439,000000DBb,1e-05,0.05
440,000000DBbb,1e-05,0.05
441,000000DCb,1e-05,0.05
442,000000DCbb,1e-05,0.05
443,000000DDb,1e-05,0.05
444,000000DDbb,1e-05,0.05
445,000000DEb,1e-05,0.05
446,000000DEbb,1e-05,0.05
447,000000DFb,1e-05,0.05
448,000000DFbb,1e-05,0.05
449,000000E0b,1e-05,0.05
450,000000E0bb,1e-05,0.05
451,000000E1b,1e-05,0.05
452,000000E1bb,1e-05,0.05
453,000000E2b,1e-05,0.05
454,000000E2bb,1e-05,0.05
455,000000E3b,1e-05,0.05
456,000000E3bb,1e-05,0.05
457,000000E4b,1e-05,0.05
458,000000E4bb,1e-05,0.05
459,000000E5b,1e-05,0.05
460,000000E5bb,1e-05,0.05
461,000000E6b,1e-05,0.05
462,000000E6bb,1e-05,0.05
463,000000E7b,1e-05,0.05
464,000000E7bb,1e-05,0.05
465,000000E8b,1e-05,0.05
466,000000E8bb,1e-05,0.05
467,000000E9b,1e-05,0.05
468,000000E9bb,1e-05,0.05
469,000000Ebb,1e-05,0.05
470,000000Ebbb,1e-05,0.05
471,000000EBb,1e-05,0.05
472,000000EBbb,1e-05,0.05
473,000000ECb,1e-05,0.05
474,000000ECbb,1e-05,0.05
475,000000EDb,1e-05,0.05
