,index,mu_driver_birth,s_driver_birth
784,000030BB,1e-03,0.4
785,000089E9,1e-06,0.5
786,000007CE,1e-02,1.5
787,00008512,1e-06,1.0
788,00000BFC,1e-02,0.5
789,00007C84,1e-05,0.1
790,0000370C,1e-03,0.2
791,00008B37,1e-06,0.5
792,00008398,1e-06,1.5
793,00002A89,1e-03,1.0
794,00004FF2,1e-04,0.4
795,00003299,1e-03,0.4
796,0000311A,1e-03,0.4
797,000053DE,1e-04,0.3
798,000015EB,1e-02,0.3
799,0000617A,1e-05,2.0
800,000043A8,1e-04,1.5
801,0000530D,1e-04,0.3
802,00000456,1e-02,1.5
803,00009AF9,1e-06,0.1
804,00007B26,1e-05,0.1
805,00008BE5,1e-06,0.5
806,00000412,1e-02,1.5
807,000084A1,1e-06,1.5
808,0000870F,1e-06,1.0
809,00009C21,1e-06,0.1
810,00008DCB,1e-06,0.4
811,00007369,1e-05,0.3
812,000032BF,1e-03,0.4
813,00005E5F,1e-05,2.0
814,00001676,1e-02,0.3
815,00008652,1e-06,1.0
816,000077E7,1e-05,0.2
817,00005E78,1e-05,2.0
818,00002400,1e-03,1.5
819,00004AA9,1e-04,0.5
820,00000625,1e-02,1.5
821,00003B46,1e-03,0.1
822,00008DDC,1e-06,0.4
823,00001A59,1e-02,0.2
824,00009464,1e-06,0.3
825,00005176,1e-04,0.4
826,00004A80,1e-04,0.5
827,0000141F,1e-02,0.3
828,00007358,1e-05,0.3
829,00004A19,1e-04,1.0
830,00003334,1e-03,0.3
831,0000407D,1e-04,2.0
832,00009C03,1e-06,0.1
833,00008045,1e-06,2.0
834,00008C18,1e-06,0.5
835,000025F3,1e-03,1.5
836,00006815,1e-05,1.0
837,00005E1A,1e-05,2.0
838,00004059,1e-04,2.0
839,000027E5,1e-03,1.0
840,000028DD,1e-03,1.0
841,000000D8,1e-02,2.0
842,00001273,1e-02,0.4
843,000081AE,1e-06,1.5
844,00001745,1e-02,0.3
845,00002FBD,1e-03,0.4
846,00008B86,1e-06,0.5
847,000024E5,1e-03,1.5
848,0000678B,1e-05,1.0
849,000014F8,1e-02,0.3
850,00009141,1e-06,0.3
851,00003E66,1e-03,0.1
852,00006261,1e-05,1.5
853,00001E91,1e-02,0.1
854,00006388,1e-05,1.5
855,00005003,1e-04,0.4
856,00007BEC,1e-05,0.1
857,00007B65,1e-05,0.1
858,00002CFC,1e-03,0.5
859,0000596D,1e-04,0.2
860,00002C7C,1e-03,0.5
861,00008550,1e-06,1.0
862,000072DC,1e-05,0.3
863,00000EAE,1e-02,0.5
864,000051BA,1e-04,0.4
865,00007E22,1e-06,2.0
866,000024B0,1e-03,1.5
