,index,mu_driver_birth,s_driver_birth
645,00000284a,1e-05,0.15
646,00000285a,1e-05,0.15
647,00000286a,1e-05,0.15
648,00000287a,1e-05,0.15
649,00000288a,1e-05,0.15
650,00000289a,1e-05,0.15
651,0000028Aa,1e-05,0.15
652,0000028Ba,1e-05,0.15
653,0000028Ca,1e-05,0.15
654,0000028Da,1e-05,0.15
655,0000028Ea,1e-05,0.15
656,0000028Fa,1e-05,0.15
657,00000290a,1e-05,0.15
658,00000291a,1e-05,0.15
659,00000292a,1e-05,0.15
660,00000293a,1e-05,0.15
661,00000294a,1e-05,0.15
662,00000295a,1e-05,0.15
663,00000296a,1e-05,0.15
664,00000297a,1e-05,0.15
665,00000298a,1e-05,0.15
666,00000299a,1e-05,0.15
667,0000029Aa,1e-05,0.15
668,0000029Ba,1e-05,0.15
669,0000029Ca,1e-05,0.15
670,0000029Da,1e-05,0.15
671,0000029Ea,1e-05,0.15
672,0000029Fa,1e-05,0.15
673,000002A0a,1e-05,0.15
674,000002A1a,1e-05,0.15
675,000002A2a,1e-05,0.15
676,000002A3a,1e-05,0.15
677,000002A4a,1e-05,0.15
678,000002A5a,1e-05,0.15
679,000002A6a,1e-05,0.15
680,000002A7a,1e-05,0.15
681,000002A8a,1e-05,0.15
682,000002A9a,1e-05,0.15
683,000002AAa,1e-05,0.15
684,000002ABa,1e-05,0.15
685,000002ACa,1e-05,0.15
686,000002ADa,1e-05,0.15
687,000002AEa,1e-05,0.15
688,000002AFa,1e-05,0.15
689,000002B0a,1e-05,0.15
690,000002B1a,1e-05,0.15
691,000002B2a,1e-05,0.15
692,000002B3a,1e-05,0.15
693,000002B4a,1e-05,0.15
694,000002B5a,1e-05,0.15
695,000002B6a,1e-05,0.15
696,000002B7a,1e-05,0.15
697,000002B8a,1e-05,0.15
698,000002B9a,1e-05,0.15
699,000002BAa,1e-05,0.15
700,000002BBa,1e-05,0.15
701,000002BCa,1e-05,0.15
702,000002BDa,1e-05,0.15
703,000002BEa,1e-05,0.15
704,000002BFa,1e-05,0.15
705,000002C0a,1e-05,0.15
706,000002C1a,1e-05,0.15
707,000002C2a,1e-05,0.15
708,000002C3a,1e-05,0.15
709,000002C4a,1e-05,0.15
710,000002C5a,1e-05,0.15
711,000002C6a,1e-05,0.15
712,000002C7a,1e-05,0.15
713,000002C8a,1e-05,0.15
714,000002C9a,1e-05,0.15
715,000002CAa,1e-05,0.15
716,000002CBa,1e-05,0.15
717,000002CCa,1e-05,0.15
718,000002CDa,1e-05,0.15
719,000002CEa,1e-05,0.15
720,000002CFa,1e-05,0.15
721,000002D0a,1e-05,0.15
722,000002D1a,1e-05,0.15
723,000002D2a,1e-05,0.15
724,000002D3a,1e-05,0.15
725,000002D4a,1e-05,0.15
726,000002D5a,1e-05,0.15
727,000002D6a,1e-05,0.15
728,000002D7a,1e-05,0.15
729,000002D8a,1e-05,0.15
730,000002D9a,1e-05,0.15
731,000002DAa,1e-05,0.15
732,000002DBa,1e-05,0.15
733,000002DCa,1e-05,0.15
734,000002DDa,1e-05,0.15
735,000002DEa,1e-05,0.15
736,000002DFa,1e-05,0.15
737,000002E0a,1e-05,0.15
738,000002E1a,1e-05,0.15
739,000002E2a,1e-05,0.15
740,000002E3a,1e-05,0.15
741,000002E4a,1e-05,0.15
742,000002E5a,1e-05,0.15
743,000002E6a,1e-05,0.15
744,000002E7a,1e-05,0.15
745,000002E8a,1e-05,0.15
746,000002E9a,1e-05,0.15
747,000002EAa,1e-05,0.15
748,000002EBa,1e-05,0.15
749,000002ECa,1e-05,0.15
750,000002EDa,1e-05,0.15
751,000002EEa,1e-05,0.15
752,000002EFa,1e-05,0.15
753,000002F0a,1e-05,0.15
754,000002F1a,1e-05,0.15
755,000002F2a,1e-05,0.15
756,000002F3a,1e-05,0.15
757,000002F4a,1e-05,0.15
758,000002F5a,1e-05,0.15
759,000002F6a,1e-05,0.15
760,000002F7a,1e-05,0.15
761,000002F8a,1e-05,0.15
762,000002F9a,1e-05,0.15
763,000002FAa,1e-05,0.15
764,000002FBa,1e-05,0.15
765,000002FCa,1e-05,0.15
766,000002FDa,1e-05,0.15
767,000002FEa,1e-05,0.15
768,000002FFa,1e-05,0.15
769,00000300a,1e-05,0.15
770,00000301a,1e-05,0.15
771,00000302a,1e-05,0.15
772,00000303a,1e-05,0.15
773,00000304a,1e-05,0.15
774,00000305a,1e-05,0.15
775,00000306a,1e-05,0.15
776,00000307a,1e-05,0.15
777,00000308a,1e-05,0.15
