,id,speed_early,speed_late
2461,0000099C,0.818986783,0.84034575
2462,0000099D,0.826674467,0.83700233
2463,0000099E,0.814954965,0.846150483
2464,0000099F,0.819433853,0.855079548
2465,000009A0,0.849714002,0.845915365
2466,000009A1,0.865091378,0.844165381
2467,000009A2,0.853528433,0.849052115
2468,000009A3,0.849055093,0.838885045
2469,000009A4,0.828490734,0.855411952
2470,000009A5,0.830454049,0.846595388
2471,000009A6,0.749236038,0.798607548
2472,000009A7,0.789882271,0.791022305
2473,000009A8,0.763798381,0.793533912
2474,000009A9,0.775832789,0.79784076
2475,000009AA,0.811275658,0.792047341
2476,000009AB,0.812062045,0.789106443
2477,000009AC,0.769652683,0.790745878
2478,000009AD,0.783687609,0.797723369
2479,000009AE,0.749290839,0.79713009
2480,000009AF,0.773644149,0.794538684
2481,000009B0,0.704393532,0.736529625
2482,000009B1,0.723616402,0.750351116
2483,000009B2,0.737534455,0.745870055
2484,000009B3,0.72125645,0.742878214
2485,000009B4,0.722472789,0.750240975
2486,000009B5,0.735228212,0.751559914
2487,000009B6,0.750652614,0.74747506
2488,000009B7,0.714711129,0.742056355
2489,000009B8,0.731565175,0.744029337
2490,000009B9,0.731684622,0.743229101
2491,000009BA,0.648408637,0.681860719
2492,000009BB,0.69340849,0.691581965
2493,000009BC,0.699357357,0.685143072
2494,000009BD,0.663910558,0.702347107
2495,000009BE,0.677721897,0.692047546
2496,000009BF,0.69506976,0.686222575
2497,000009C0,0.676797245,0.691741307
2498,000009C1,0.666382761,0.690616125
2499,000009C2,0.684574972,0.689396251
2500,000009C3,0.685188328,0.689837449
2501,000009C4,0.632162833,0.634493813
2502,000009C5,0.621353812,0.639175682
2503,000009C6,0.632460958,0.638361587
2504,000009C7,0.592720167,0.643899582
2505,000009C8,0.636663386,0.640979376
2506,000009C9,0.651892025,0.636224265
2507,000009CA,0.629715118,0.644029803
2508,000009CB,0.645407219,0.646896
2509,000009CC,0.637671583,0.636417074
2510,000009CD,0.632241093,0.63248928
2511,000009CE,0.580963397,0.588181414
2512,000009CF,0.559704443,0.582375154
2513,000009D0,0.586411648,0.592280951
2514,000009D1,0.567186182,0.584357662
2515,000009D2,0.581782906,0.587796231
2516,000009D3,0.583871486,0.588640838
2517,000009D4,0.573930011,0.585947856
2518,000009D5,0.588407658,0.587670216
2519,000009D6,0.603048123,0.584677661
2520,000009D7,0.597670197,0.588175534
2521,000009D8,0.540634252,0.535586666
2522,000009D9,0.530935523,0.536231992
2523,000009DA,0.527879067,0.529902561
2524,000009DB,0.532065085,0.539496261
2525,000009DC,0.527250813,0.530590612
2526,000009DD,0.523695748,0.537104
2527,000009DE,0.517198593,0.535592838
2528,000009DF,0.524745727,0.534089384
2529,000009E0,0.507751615,0.525165876
2530,000009E1,0.531558809,0.533711915
2531,000009E2,0.480985943,0.479996357
2532,000009E3,0.457698765,0.483802983
2533,000009E4,0.482815316,0.485236226
2534,000009E5,0.468978429,0.479308002
2535,000009E6,0.491443214,0.485579388
2536,000009E7,0.483572247,0.48083569
2537,000009E8,0.484032824,0.486366273
2538,000009E9,0.480523671,0.480496558
2539,000009EA,0.493437627,0.487940301
2540,000009EB,0.478491349,0.478701874
2541,000009EC,0.415718615,0.432945067
2542,000009ED,0.424724839,0.424305248
2543,000009EE,0.410800699,0.423611746
2544,000009EF,0.42394887,0.423407611
2545,000009F0,0.427559025,0.42593761
2546,000009F1,0.433264529,0.430841724
2547,000009F2,0.408651458,0.427027888
2548,000009F3,0.43228697,0.427964513
2549,000009F4,0.426780028,0.426965261
2550,000009F5,0.435779233,0.43176495
2551,000009F6,0.379675441,0.376218964
2552,000009F7,0.368078863,0.380565906
2553,000009F8,0.373334671,0.380059507
2554,000009F9,0.36905023,0.372425504
2555,000009FA,0.368640053,0.37394811
